161.74,165.1, 165.64, 166.65, 160.97, 161.81, 166.59, 165.74, 161.9, 161.34, 165.435
161.88,161.74, 165.1, 165.64, 166.65, 160.97, 161.81, 166.59, 165.74, 161.9, 161.34
161.5,161.88, 161.74, 165.1, 165.64, 166.65, 160.97, 161.81, 166.59, 165.74, 161.9
165.65,161.5, 161.88, 161.74, 165.1, 165.64, 166.65, 160.97, 161.81, 166.59, 165.74
165.37,165.65, 161.5, 161.88, 161.74, 165.1, 165.64, 166.65, 160.97, 161.81, 166.59
164.67,165.37, 165.65, 161.5, 161.88, 161.74, 165.1, 165.64, 166.65, 160.97, 161.81
165.09,164.67, 165.37, 165.65, 161.5, 161.88, 161.74, 165.1, 165.64, 166.65, 160.97
164.8884,165.09, 164.67, 165.37, 165.65, 161.5, 161.88, 161.74, 165.1, 165.64, 166.65
165.65,164.8884, 165.09, 164.67, 165.37, 165.65, 161.5, 161.88, 161.74, 165.1, 165.64
160.76,165.65, 164.8884, 165.09, 164.67, 165.37, 165.65, 161.5, 161.88, 161.74, 165.1
165.36,160.76, 165.65, 164.8884, 165.09, 164.67, 165.37, 165.65, 161.5, 161.88, 161.74
160.8,165.36, 160.76, 165.65, 164.8884, 165.09, 164.67, 165.37, 165.65, 161.5, 161.88
